ISO,Year,GDP per capita growth (annual %)
AZE,2013,4.483203027
AZE,2014,1.522431572
AZE,2015,-0.147024804
AZE,2016,-4.141174903
AZE,2017,-0.824348483
AZE,2018,0.62488441
AZE,2019,1.615829574
AZE,2020,-4.852351546
AZE,2021,5.151489356
AZE,2022,4.673318014
AZE,2023,1.232679755
AZE,2024,3.57269253
BHS,1960,
BHS,1961,5.34190503
BHS,1962,5.039960225
BHS,1963,5.129045928
BHS,1964,5.472593468
BHS,1965,5.630973667
BHS,1966,4.197024666
BHS,1967,4.604745807
BHS,1968,3.43569724
BHS,1969,4.149218202
BHS,1970,-9.220520204
BHS,1971,-1.501779658
BHS,1972,-6.055908012
BHS,1973,5.030403287
BHS,1974,-18.59920723
BHS,1975,-16.64762567
BHS,1976,2.922120333
BHS,1977,6.835927989
BHS,1978,11.83021661
BHS,1979,23.66934654
BHS,1980,4.527743963
BHS,1981,-10.79470812
BHS,1982,4.925120698
BHS,1983,1.868021145
BHS,1984,12.26036706
BHS,1985,3.052309063
BHS,1986,0.064914408
BHS,1987,1.254972311
BHS,1988,0.576822781
BHS,1989,4.86574712
BHS,1990,-3.296191759
BHS,1991,-5.815327371
BHS,1992,-5.573309075
BHS,1993,-1.555541082
BHS,1994,1.350387443
BHS,1995,2.664156846
BHS,1996,2.587699944
BHS,1997,-0.222584467
BHS,1998,3.234543574
BHS,1999,5.72071862
BHS,2000,2.790905518
BHS,2001,1.373534
BHS,2002,1.534862932
BHS,2003,-2.442848949
BHS,2004,-0.353931311
BHS,2005,2.159759355
BHS,2006,1.197964733
BHS,2007,0.022316157
BHS,2008,-3.629017836
BHS,2009,-5.414140447
BHS,2010,0.248837038
BHS,2011,-0.537416355
BHS,2012,3.479012149
BHS,2013,-3.756330969
BHS,2014,0.956170654
BHS,2015,0.197887425
BHS,2016,-1.846292092
BHS,2017,2.727954146
BHS,2018,1.816539861
BHS,2019,-1.33099312
BHS,2020,-20.32936973
BHS,2021,17.43560221
BHS,2022,10.55252448
BHS,2023,2.55809108
BHS,2024,2.903713039
BHR,1960,
BHR,1961,
BHR,1962,
BHR,1963,
BHR,1964,
BHR,1965,
BHR,1966,
BHR,1967,
BHR,1968,
BHR,1969,
BHR,1970,
BHR,1971,-1.001589811
BHR,1972,5.851353498
BHR,1973,8.031073462
BHR,1974,2.941323468
BHR,1975,-13.40687758
BHR,1976,24.07213355
BHR,1977,7.61285509
BHR,1978,-0.957468007
BHR,1979,-1.173423458
BHR,1980,-1.85494661
BHR,1981,-9.003912419
BHR,1982,-10.77134826
BHR,1983,2.733042904
BHR,1984,1.349610014
BHR,1985,-8.123037603
BHR,1986,-2.428239076
BHR,1987,6.447243146
BHR,1988,3.193126764
BHR,1989,-3.147028853
BHR,1990,0.893819936
BHR,1991,13.82693921
BHR,1992,3.920583935
BHR,1993,9.939399205
BHR,1994,-2.841207905
BHR,1995,1.231132748
BHR,1996,1.404160777
BHR,1997,0.411529525
BHR,1998,2.065271537
BHR,1999,1.587982296
BHR,2000,2.559646914
BHR,2001,-1.187353568
BHR,2002,-3.812875133
BHR,2003,-1.206571929
BHR,2004,-0.710582646
BHR,2005,-1.04880317
BHR,2006,-1.470380325
BHR,2007,0.075646933
BHR,2008,0.063714463
