Code,Year,population using safely managed sanitation services,"population using only basic sanitation services, improved sanitation facilities which are not shared","population using limited sanitation services, improved sanitation facilities which are shared",population using unimproved sanitation facilities,population practicing open defecation
PYF,2014,,,0,2.5991335,0.10830913
PYF,2015,,,0,2.7652779,0
PYF,2016,,,0,2.8231132,0
PYF,2017,,,0,2.8809483,0
PYF,2018,,,0,2.9387836,0
PYF,2019,,,0,2.996619,0
PYF,2020,,,0,2.996619,0
PYF,2021,,,0,2.996619,0
PYF,2022,,,0,2.996619,0
GAB,2000,,,35.028755,28.803308,2.1865134
GAB,2001,,,34.57487,28.31869,2.169234
GAB,2002,,,34.112278,27.830973,2.1530194
GAB,2003,,,33.64063,27.340569,2.13787
GAB,2004,,,33.1597,26.84774,2.123762
GAB,2005,,,32.66914,26.352932,2.1106932
GAB,2006,,,32.169037,25.856016,2.098594
GAB,2007,,,31.659061,25.357435,2.0874631
GAB,2008,,,31.139317,24.857052,2.077233
GAB,2009,,,30.609211,24.355698,2.067946
GAB,2010,,,30.069008,23.853018,2.0595136
GAB,2011,,,29.518414,23.349457,2.0519345
GAB,2012,,,28.957573,22.844822,2.0451462
GAB,2013,,,28.385927,22.339987,2.0391865
GAB,2014,,,27.802347,21.836777,2.0341647
GAB,2015,,,28.014734,21.335762,2.0300674
GAB,2016,,,28.224714,20.836838,2.0268233
GAB,2017,,,28.43247,20.339855,2.0243657
GAB,2018,,,28.638042,19.844881,2.0226476
GAB,2019,,,28.841326,19.352207,2.0216413
GAB,2020,,,28.894056,19.26051,2.0212688
GAB,2021,,,28.94378,19.173445,2.0215058
GAB,2022,,,28.99065,19.090803,2.0223122
GMB,2000,43.242573,7.8201337,34.801147,8.693462,5.442684
GMB,2001,42.036366,7.8776093,34.55054,10.420996,5.114486
GMB,2002,40.853184,7.9347677,34.30345,12.114885,4.7937093
GMB,2003,39.73583,7.988486,34.01449,13.778092,4.4831033
GMB,2004,38.670227,8.0252,33.692177,15.422985,4.1894135
GMB,2005,38.077393,8.500949,32.47896,17.04085,3.9018507
GMB,2006,37.489872,8.9963875,31.261595,18.631742,3.6204023
GMB,2007,36.906696,9.511831,30.040693,20.195724,3.3450553
GMB,2008,36.32675,10.047746,28.817087,21.732672,3.0757446
GMB,2009,35.749664,10.603827,27.590485,23.243359,2.8126671
GMB,2010,35.173958,11.180818,26.362217,24.727371,2.5556371
GMB,2011,34.59887,11.778669,25.132505,26.185228,2.3047252
GMB,2012,34.02319,12.398014,23.902382,27.616596,2.0598197
GMB,2013,33.44626,13.038177,22.671629,29.022863,1.8210717
